address,suburb,postcode,state,Country,shortid,latitude,longitude,status
Uranus st,Padstow,2211,NSW,Australia,Q2UMZ,14.5656607,121.1099925,cached
100 Magill Road,Norwood,5067,SA,Australia,1452,-34.9156188,138.6294555,cached
Showground Road Gosford,Gosford,2250,NSW,Australia,1041,-33.4173515,151.3424266,cached
23 First Avenue,Beachmere,4510,QLD,Australia,73F9F,51.5826033,-0.0172274,cached
55 Currong Street North,Braddon,2612,ACT,Australia,3460,-35.27738970000001,149.1360971,cached
13 Banggu street,Throsby,2914,ACT,Australia,HIVXL,-35.1895855,149.1629143,cached
7B Prevost place,Dunlop,2911,ACT,Australia,MN69J,-35.2184251,149.0164113,cached
7A Prevost place,Dunlop,2615,ACT,Australia,W9XTR,-35.2184251,149.0164113,cached
39 Broadway Avenue,Bassendean,6054,WA,Australia,2311,43.7099262,-79.3957325,cached
Lot 548 Pebblestone Drive,Kirwan,4817,QLD,Australia,6154,36.0073069,-78.8107347,cached
Foote Avenue,Kilburn,5159,SA,Australia,1696,43.7082474,-116.6214428,cached
"Lot 105 Satinash Court, Kingfisher Park Estate, Tinana",Maryborough,4650,QLD,Australia,1GEIM,-25.551804,152.6686391,cached
55 Currong Street North,Braddon,2612,ACT,Australia,3462,-35.27738970000001,149.1360971,cached
Lot 105 Howard Court,Kyogle,2474,NSW,Australia,DQ2YD,-35.0384704,138.8808822,cached
81 Torwood Avenue,Treeby,6164,WA,Australia,5255,-32.1202647,115.8831662,cached
13 Miami Place,Pallara,4110,QLD,Australia,4728,-41.4818998,147.1730093,cached
14 Santorini Place,Forest Lake,4078,QLD,Australia,2517,-27.6262851,152.9630238,cached
17 Zanes place,Logan Village,4207,QLD,Australia,8768,-27.7608908,153.1100271,cached
28 Foote Avenue,Kilburn,5084,SA,Australia,1779,43.70669789999999,-116.6217693,cached
1 Abell Road,Cannonvale,4802,QLD,Australia,7671,-20.2890049,148.6785799,cached
2/22 Creighton Street,Mount Gravatt,4122,QLD,Australia,2880,-27.5357612,153.0755391,cached
60 North High Street,Brassall,4113,QLD,Australia,2885,39.9636437,-83.00092169999999,cached
9 Fuchsia court,Norman Gardens,4701,QLD,Australia,7294,-33.7673197,150.9868668,cached
22 Trident Road,Seaford Meadows,5169,SA,Australia,1783,-35.1691859,138.4883019,cached
33 Talbot Street,Colac,3250,VIC,Australia,5499,53.3512119,-6.252454999999999,cached
3 Waltz Street,Ripley,4306,QLD,Australia,L4591,-27.6682206,152.7719914,cached
Mann street Gosford,Gosford,2250,NSW,Australia,1959,-33.4228188,151.3427273,cached
